park,county,park_size,lat,long,section,township,range,sp_num,agency,IRC
Tall Cypress Natural Area,Broward,66.4,NA,NA,13,NA,NA,174,Broward County,0.5
Tamiami Pineland Complex Addition,Miami-Dade,25.58,25.644,-80.391,13,55,39,174,Miami-Dade County,1
"Tavernier Creek Hammock, Florida Keys Wildlife and Environmental Area",Monroe (Keys),NA,NA,NA,NA,NA,NA,118,Florida Fish and Wildlife Conservation Commission,1
Ten Thousand Islands National Wildlife Refuge,Collier,19650,NA,NA,NA,NA,NA,171,United States Fish and Wildlife Service,0
Terrestris Preserve,Monroe (Keys),20.68,NA,NA,NA,NA,NA,14,The Nature Conservancy,0.5
The Barnacle State Historic Park,Miami-Dade,9.43,25.72472,-80.24306,21,54,41,192,"Florida Department of Environmental Protection, Division of Recreation and Parks",0.5
The Jungle Natural Area,Broward,28.5,NA,NA,NA,NA,NA,161,Broward County,0.5
Tigertail Beach County Park,Collier,32,NA,NA,NA,NA,NA,87,Collier County,1
Tilton,Martin,39,27.223,-80.257,29,37,41,148,Martin County,1
Torchwood Hammock Preserve,Monroe (Keys),243,24.65327,-81.38717,33,66,29,109,The Nature Conservancy,0
Tradewinds Regional Park,Broward,600,26.26444,-80.16583,NA,NA,NA,189,Broward County,0.5
Trail Glades Range,Miami-Dade,675,25.76861,-80.47806,NA,NA,NA,132,Miami-Dade County Department of Parks and Recreation,1
Tree Island Park,Miami-Dade,120,NA,NA,NA,NA,NA,272,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Tree Tops Park,Broward,250,26.07028,-80.27639,NA,NA,NA,232,Broward County Parks and Recreation,0.5
Trinity Pineland,Miami-Dade,10,25.69896,-80.31136,35,54,40,203,Miami-Dade County Department of Parks and Recreation,1
Tropical Park,Miami-Dade,275,25.725,-80.32,22,54,40,171,Miami-Dade County Department of Parks and Recreation,1
Twin Rivers,Martin,24,27.163,-80.183,48,38,41,143,Martin County,0
"Vaca Cut Hammock, Florida Keys Wildlife and Environmental Area",Monroe (Keys),NA,NA,NA,NA,NA,NA,64,Florida Fish and Wildlife Conservation Commission,1
Vanderbilt Beach County Park,Collier,5,26.27028,-81.79,NA,NA,NA,28,Collier County,0
Virginia Key and Marine Stadium,Miami-Dade,496,NA,NA,NA,NA,NA,174,City of Miami,1
Vizcaya Museum and Gardens,Miami-Dade,16,25.74806,-80.205,14,54,41,122,Miami-Dade County Department of Parks and Recreation,0.5
"Wahoo Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),12.27,24.69049,-81.44182,NA,NA,NA,77,Florida Fish and Wildlife Conservation Commission,1
West Biscayne Pineland,Miami-Dade,15.1,25.49312,-80.50075,2,57,38,246,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
West Lake Park/Anne Kolb Nature Center,Broward,1533.8,26.02917,-80.13056,NA,NA,NA,115,Broward County,0
Wet Woods Preserve,Collier,NA,NA,NA,NA,NA,NA,188,Collier County,1
Whispering Pines Hammock Preserve,Miami-Dade,5,25.59194,-80.33472,NA,NA,NA,67,Miami-Dade County Department of Parks and Recreation,0.5
Wild Turkey Strand Preserve,Lee,2629,NA,NA,NA,NA,NA,501,Lee County,1
Windley Key Fossil Reef Geological State Park,Monroe (Keys),31.88,24.95213,-80.59247,NA,NA,NA,241,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Woodmont Natural Area,Broward,21.6,26.215127,-80.257206,NA,NA,NA,147,Broward County,0
Yamato Scrub Natural Area,Palm Beach,216.7,NA,NA,NA,NA,NA,321,Palm Beach County,1
Yellow Fever Creek Preserve,Lee,NA,NA,NA,NA,NA,NA,393,Lee County,1
